id,name,description,price,image_url,category
1,Nova iPhone 14 Ultra Fusion,"The Nova iPhone 14 Ultra Fusion is a high-performance iphone 14 ideal for daily use, featuring sleek design, durability, and cutting-edge features.",63945.66,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Smartphones
2,Drift Boat Airdopes 141 Mini 360,"The Drift Boat Airdopes 141 Mini 360 is a high-performance boat airdopes 141 ideal for daily use, featuring sleek design, durability, and cutting-edge features.",52050.91,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Other
3,Lux Puma Flip Flops Mini Prime,"The Lux Puma Flip Flops Mini Prime is a high-performance puma flip flops ideal for daily use, featuring sleek design, durability, and cutting-edge features.",128822.38,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Footwear
4,Tronix HP Pavilion 15 Laptop Lite Next,"The Tronix HP Pavilion 15 Laptop Lite Next is a high-performance hp pavilion 15 laptop ideal for daily use, featuring sleek design, durability, and cutting-edge features.",36605.21,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Laptops
5,Neon Samsung Galaxy S23 Plus Next,"The Neon Samsung Galaxy S23 Plus Next is a high-performance samsung galaxy s23 ideal for daily use, featuring sleek design, durability, and cutting-edge features.",107717.52,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Smartphones
6,Nova Samsung Galaxy S23 Pro 2024,"The Nova Samsung Galaxy S23 Pro 2024 is a high-performance samsung galaxy s23 ideal for daily use, featuring sleek design, durability, and cutting-edge features.",103671.72,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Smartphones
7,Omni Puma Flip Flops Pro Fusion,"The Omni Puma Flip Flops Pro Fusion is a high-performance puma flip flops ideal for daily use, featuring sleek design, durability, and cutting-edge features.",90209.34,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Footwear
8,Pulse Adidas Running Shoes Max Edge,"The Pulse Adidas Running Shoes Max Edge is a high-performance adidas running shoes ideal for daily use, featuring sleek design, durability, and cutting-edge features.",12174.25,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Footwear
9,Nova Sony WH-1000XM5 Headphones Pro Next,"The Nova Sony WH-1000XM5 Headphones Pro Next is a high-performance sony wh-1000xm5 headphones ideal for daily use, featuring sleek design, durability, and cutting-edge features.",86280.97,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Smartphones
10,Pulse HP Pavilion 15 Laptop Lite Prime,"The Pulse HP Pavilion 15 Laptop Lite Prime is a high-performance hp pavilion 15 laptop ideal for daily use, featuring sleek design, durability, and cutting-edge features.",123443.53,https://dummyimage.com/300x300/cccccc/000000.png&text=Product+Image,Laptops
